MM #,Name,Order,Allegiance,Rarity,Power,Def,Base Attack,Moves,Move 1 Name,Move 1 Roll,Move 1 Cooldown,Move 1 Effect,Move 2 Name,Move 2 Roll,Move 2 Cooldown,Move 2 Effect
MM-001,Swift,Order of the Star,Unbound,Wild,52,22,18,Quickstrike: 3+ | CD 1 | This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.; Tailwind Dash: 5+ | CD 2 | All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.,Quickstrike,3+,1,This attack gains +8% ATK and one allied Mystic gains +8% DEF for 1 turn.,Tailwind Dash,5+,2,All allied Mystics gain +8% ATK for 1 turn; this Mystic recovers 5% of maximum Power Score.
MM-002,Duney,Verdant Dawn,Unbound,Wild,50,24,16,Sand Toss: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Burrow: 5+ | CD 2 | Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.,Sand Toss,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Burrow,5+,2,Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.
MM-003,Leafo,Verdant Dawn,Unbound,Wild,54,26,17,Vine Snap: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Regrow: 5+ | CD 2 | Recover 10% of this Mystic's maximum Power Score and gain +8% DEF until your next turn.,Vine Snap,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Regrow,5+,2,Recover 10% of this Mystic's maximum Power Score and gain +8% DEF until your next turn.
MM-004,Ember,First Spark,Mortalbound,Wild,49,18,20,"Spark Bite: 3+ | CD 1 | This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.; Flare Burst: 5+ | CD 2 | Gain +18% ATK for 1 turn and reduce the other Special Move recovery by 1 turn.",Spark Bite,3+,1,"This attack gains +12% ATK. Afterward, this Mystic gets -4% DEF until your next turn.",Flare Burst,5+,2,Gain +18% ATK for 1 turn and reduce the other Special Move recovery by 1 turn.
MM-005,Bella,Worldforge,Mortalbound,Wild,53,29,15,Metal Bash: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for this attack.; Iron Guard: 5+ | CD 2 | Gain +18% DEF for 2 turn(s).,Metal Bash,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for this attack.,Iron Guard,5+,2,Gain +18% DEF for 2 turn(s).
MM-006,Disco,Sunspire,Mortalbound,Wild,47,20,17,Flash Pop: 3+ | CD 1 | This attack gains +8% ATK and reduce target DEF by 8% for 1 turn.; Dazzle Spin: 5+ | CD 2 | Reduce the target's ATK by 12% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Flash Pop,3+,1,This attack gains +8% ATK and reduce target DEF by 8% for 1 turn.,Dazzle Spin,5+,2,Reduce the target's ATK by 12% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-007,Rocky,Worldforge,Mortalbound,Hunter,61,34,19,Stone Slam: 3+ | CD 1 | This attack gains +10% ATK and reduce target DEF by 10% for this attack.; Rooted Stance: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Stone Slam,3+,1,This attack gains +10% ATK and reduce target DEF by 10% for this attack.,Rooted Stance,5+,2,Gain +20% DEF for 2 turn(s).
MM-008,Coral,Verdant Dawn,Mortalbound,Wild,51,23,19,Coral Jab: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Current Curl: 5+ | CD 2 | Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.,Coral Jab,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Current Curl,5+,2,Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.
MM-009,Jitsuki,Sovereign Order,Mortalbound,Hunter,65,28,27,"Rapid Jab: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Counter Form: 5+ | CD 2 | Gain +15% DEF until your next turn. If hit, the attacker gets -10% ATK for its next turn.",Rapid Jab,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Counter Form,5+,2,"Gain +15% DEF until your next turn. If hit, the attacker gets -10% ATK for its next turn."
MM-010,Nox,Moonveil,Voidbound,Hunter,67,25,29,Void Claw: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Darkness Shroud: 5+ | CD 2 | Reduce the target's ATK by 15% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Void Claw,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Darkness Shroud,5+,2,Reduce the target's ATK by 15% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-011,Gravemaw,Moonveil,Voidbound,Predator,82,40,32,Grave Bite: 4+ | CD 1 | This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.; Consume: 6+ | CD 2 | Reduce the target's ATK and DEF by 18% for 1 turn and increase its longest active Special Move recovery by 1 turn.,Grave Bite,4+,1,This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.,Consume,6+,2,Reduce the target's ATK and DEF by 18% for 1 turn and increase its longest active Special Move recovery by 1 turn.
MM-012,Kairo,Sovereign Order,Mortalbound,Hunter,63,27,26,Palm Strike: 3+ | CD 1 | This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.; Focus Kata: 5+ | CD 2 | Gain +20% ATK for 2 turn(s).,Palm Strike,3+,1,This attack gains +10% ATK and reduce target ATK by 10% for 1 turn.,Focus Kata,5+,2,Gain +20% ATK for 2 turn(s).
MM-013,Brawler,Sovereign Order,Unbound,Predator,75,32,33,Haymaker: 4+ | CD 1 | This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.; Knockout Swing: 6+ | CD 2 | Gain +18% ATK and +18% DEF for 2 turns.,Haymaker,4+,1,This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.,Knockout Swing,6+,2,Gain +18% ATK and +18% DEF for 2 turns.
MM-014,Ripple,Verdant Dawn,Mortalbound,Wild,48,22,17,Ripple Shot: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Slip Away: 5+ | CD 2 | Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.,Ripple Shot,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Slip Away,5+,2,Gain +18% DEF until your next turn and reduce the next attacker's ATK by 8% for that attack.
MM-015,Abyssal,Moonveil,Unbound,Predator,81,37,34,Deep Strike: 4+ | CD 1 | This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.; Undertow: 6+ | CD 2 | Reduce the target's DEF by 24% for 2 turns.,Deep Strike,4+,1,This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.,Undertow,6+,2,Reduce the target's DEF by 24% for 2 turns.
MM-016,Drizzle,Verdant Dawn,Mortalbound,Wild,46,20,16,Rain Drop: 3+ | CD 1 | This attack gains +8% ATK and the target gets -8% ATK for 1 turn.; Downpour: 5+ | CD 2 | Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.,Rain Drop,3+,1,This attack gains +8% ATK and the target gets -8% ATK for 1 turn.,Downpour,5+,2,Recover 10% of maximum Power Score and gain +12% DEF for 1 turn.
MM-017,Tsunami,Verdant Dawn,Ascendant,Prime,94,42,41,Crashing Wave: 4+ | CD 1 | This attack gains +15% ATK and the target gets -15% ATK for 1 turn.; Tidal Surge: 6+ | CD 2 | Gain +28% ATK for 2 turn(s).,Crashing Wave,4+,1,This attack gains +15% ATK and the target gets -15% ATK for 1 turn.,Tidal Surge,6+,2,Gain +28% ATK for 2 turn(s).
MM-018,Cactus Jack,Verdant Dawn,Unbound,Hunter,59,31,22,Needle Shot: 3+ | CD 1 | This attack gains +10% ATK and the target gets -10% ATK for 1 turn.; Prickly Guard: 5+ | CD 2 | Gain +20% DEF for 2 turn(s).,Needle Shot,3+,1,This attack gains +10% ATK and the target gets -10% ATK for 1 turn.,Prickly Guard,5+,2,Gain +20% DEF for 2 turn(s).
MM-019,Mirage,Moonveil,Unbound,Predator,74,27,31,False Strike: 4+ | CD 1 | This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.; Illusion Veil: 6+ | CD 2 | Gain +24% DEF until your next turn and reduce the next attacker's ATK by 12% for that attack.,False Strike,4+,1,This attack gains +12% ATK and reduce target ATK by 12% for 1 turn.,Illusion Veil,6+,2,Gain +24% DEF until your next turn and reduce the next attacker's ATK by 12% for that attack.
